67,2024-07-11 18:21:07.528748
,2024-07-11 22:54:10.762258
,2024-07-11 22:54:19.893468
,2024-07-11 22:54:52.171576
,2024-07-11 22:54:59.387015
,2024-07-11 22:56:01.943182
0,2024-07-11 22:57:26.340518
01202022550,2024-07-11 22:58:32.172826
0,2024-07-11 22:59:17.188122
0,2024-07-11 23:03:27.006568
,2024-07-11 23:03:48.400139
0,2024-07-11 23:41:15.106865
,2024-07-11 23:41:22.062136
,2024-07-11 23:41:58.027143
,2024-07-11 23:42:32.007343
,2024-07-11 23:42:39.295349
,2024-07-11 23:42:47.627685
,2024-07-11 23:45:20.581809
1,2024-07-11 23:45:58.908197
,2024-07-11 23:46:21.415697
,2024-07-11 23:49:20.367000
120202305,2024-07-11 23:49:32.084391
,2024-07-11 23:52:12.767250
0,2024-07-11 23:52:24.349887
0,2024-07-11 23:53:33.299810
,2024-07-11 23:53:45.564448
,2024-07-11 23:53:53.622773
,2024-07-11 23:54:19.299535
,2024-07-11 23:54:46.107739
,2024-07-11 23:55:04.136517
,2024-07-11 23:55:12.377486
,2024-07-11 23:55:19.425560
,2024-07-11 23:56:03.254140
,2024-07-11 23:56:09.122671
,2024-07-11 23:56:22.193687
,2024-07-11 23:56:46.233680
,2024-07-11 23:58:53.984041
1,2024-07-11 23:59:46.255694
,2024-07-12 00:00:19.167241
,2024-07-12 00:00:34.474973
